Date,SKU,Sales_Qty,Current_Stock,Lead_Time_Days
2024-03-08,SKU_A,172,3,5
2024-03-09,SKU_A,176,0,5
2024-03-10,SKU_A,170,0,3
2024-03-11,SKU_A,170,0,5
2024-03-12,SKU_A,166,0,7
2024-03-13,SKU_A,167,0,3
2024-03-14,SKU_A,167,0,5
2024-03-15,SKU_A,170,0,7
2024-03-16,SKU_A,181,0,7
2024-03-17,SKU_A,179,0,3
2024-03-18,SKU_A,167,0,5
2024-03-19,SKU_A,164,7,3
2024-03-20,SKU_A,169,0,3
2024-03-21,SKU_A,171,2,3
2024-03-22,SKU_A,170,0,3
2024-03-23,SKU_A,177,0,5
2024-03-24,SKU_A,180,0,3
2024-03-25,SKU_A,171,5,5
2024-03-26,SKU_A,163,9,3
2024-03-27,SKU_A,166,6,7
2024-03-28,SKU_A,164,4,3
2024-03-29,SKU_A,160,16,3
2024-03-30,SKU_A,172,0,5
2024-03-31,SKU_A,177,0,7
2024-04-01,SKU_A,167,5,7
2024-04-02,SKU_A,172,0,7
2024-04-03,SKU_A,173,0,7
2024-04-04,SKU_A,166,1,7
2024-04-05,SKU_A,167,7,3
2024-04-06,SKU_A,182,0,7
2024-04-07,SKU_A,171,2,7
2024-04-08,SKU_A,167,0,5
2024-04-09,SKU_A,171,0,3
2024-04-10,SKU_A,162,3,3
2024-04-11,SKU_A,169,0,5
2024-04-12,SKU_A,169,7,7
2024-04-13,SKU_A,180,0,5
2024-04-14,SKU_A,178,0,7
2024-04-15,SKU_A,160,4,3
2024-04-16,SKU_A,168,0,7
2024-04-17,SKU_A,166,1,3
2024-04-18,SKU_A,160,7,5
2024-04-19,SKU_A,164,4,7
2024-04-20,SKU_A,182,0,7
2024-04-21,SKU_A,174,0,7
2024-04-22,SKU_A,174,0,3
2024-04-23,SKU_A,172,3,5
2024-04-24,SKU_A,171,3,7
2024-04-25,SKU_A,174,0,7
2024-04-26,SKU_A,169,0,3
2024-04-27,SKU_A,184,0,5
2024-04-28,SKU_A,180,0,3
2024-04-29,SKU_A,163,13,3
2024-01-01,SKU_B,202,7,3
2024-01-02,SKU_B,204,10,7
2024-01-03,SKU_B,206,0,3
2024-01-04,SKU_B,197,10,3
2024-01-05,SKU_B,194,19,3
2024-01-06,SKU_B,212,0,3
2024-01-07,SKU_B,211,0,5
2024-01-08,SKU_B,205,8,5
2024-01-09,SKU_B,202,12,7
2024-01-10,SKU_B,202,5,3
2024-01-11,SKU_B,202,11,3
2024-01-12,SKU_B,196,6,5
2024-01-13,SKU_B,210,0,5
2024-01-14,SKU_B,205,1,7
2024-01-15,SKU_B,200,5,3
2024-01-16,SKU_B,204,0,5
2024-01-17,SKU_B,206,4,3
2024-01-18,SKU_B,196,7,5
2024-01-19,SKU_B,201,1,3
2024-01-20,SKU_B,210,0,5
2024-01-21,SKU_B,214,0,3
2024-01-22,SKU_B,205,6,5
2024-01-23,SKU_B,199,6,5
2024-01-24,SKU_B,199,2,5
2024-01-25,SKU_B,205,0,5
2024-01-26,SKU_B,199,14,7
2024-01-27,SKU_B,211,0,7
2024-01-28,SKU_B,210,0,5
2024-01-29,SKU_B,202,0,3
2024-01-30,SKU_B,206,0,3
2024-01-31,SKU_B,195,12,5
2024-02-01,SKU_B,194,13,3
2024-02-02,SKU_B,206,6,3
2024-02-03,SKU_B,217,0,7
2024-02-04,SKU_B,210,4,3
2024-02-05,SKU_B,205,0,5
2024-02-06,SKU_B,198,6,3
2024-02-07,SKU_B,200,7,3
2024-02-08,SKU_B,194,7,7
2024-02-09,SKU_B,206,0,5
2024-02-10,SKU_B,213,0,3
2024-02-11,SKU_B,208,5,3
2024-02-12,SKU_B,194,18,5
2024-02-13,SKU_B,198,5,7
2024-02-14,SKU_B,194,12,7
2024-02-15,SKU_B,196,11,3
2024-02-16,SKU_B,195,10,3
2024-02-17,SKU_B,209,0,7
2024-02-18,SKU_B,213,0,3
2024-02-19,SKU_B,202,2,7
2024-02-20,SKU_B,199,0,5
2024-02-21,SKU_B,199,0,3
2024-02-22,SKU_B,195,10,7
2024-02-23,SKU_B,203,3,5
2024-02-24,SKU_B,212,0,3
2024-02-25,SKU_B,215,0,5
2024-02-26,SKU_B,203,2,5
2024-02-27,SKU_B,198,7,5
2024-02-28,SKU_B,208,0,7
2024-02-29,SKU_B,201,0,5
2024-03-01,SKU_B,208,0,3
2024-03-02,SKU_B,206,1,7
2024-03-03,SKU_B,211,0,3
2024-03-04,SKU_B,196,15,7
2024-03-05,SKU_B,208,0,7
2024-03-06,SKU_B,204,4,3
2024-03-07,SKU_B,195,9,5
2024-03-08,SKU_B,197,16,5
2024-03-09,SKU_B,205,5,5
2024-03-10,SKU_B,210,0,7
2024-03-11,SKU_B,198,10,3
2024-03-12,SKU_B,198,6,5
2024-03-13,SKU_B,195,16,5
2024-03-14,SKU_B,196,11,5
2024-03-15,SKU_B,203,2,7
2024-03-16,SKU_B,208,0,7
2024-03-17,SKU_B,206,0,5
2024-03-18,SKU_B,197,3,5
2024-03-19,SKU_B,201,7,3
2024-03-20,SKU_B,199,7,7
2024-03-21,SKU_B,196,7,7
2024-03-22,SKU_B,205,6,7
2024-03-23,SKU_B,217,0,5
2024-03-24,SKU_B,207,0,5
2024-03-25,SKU_B,195,17,7
2024-03-26,SKU_B,206,0,7
2024-03-27,SKU_B,203,0,7
2024-03-28,SKU_B,208,0,7
2024-03-29,SKU_B,196,4,3
2024-03-30,SKU_B,208,2,7
2024-03-31,SKU_B,207,6,5
2024-04-01,SKU_B,204,0,3
2024-04-02,SKU_B,206,0,7
2024-04-03,SKU_B,203,0,5
2024-04-04,SKU_B,203,0,3
2024-04-05,SKU_B,206,0,7
2024-04-06,SKU_B,217,0,7
2024-04-07,SKU_B,210,0,3
2024-04-08,SKU_B,199,6,7
2024-04-09,SKU_B,199,14,7
2024-04-10,SKU_B,203,0,5
2024-04-11,SKU_B,203,5,7
2024-04-12,SKU_B,208,0,3
2024-04-13,SKU_B,207,0,7
2024-04-14,SKU_B,211,0,5
2024-04-15,SKU_B,205,0,7
2024-04-16,SKU_B,196,4,5
2024-04-17,SKU_B,203,0,5
2024-04-18,SKU_B,207,7,3
2024-04-19,SKU_B,200,8,7
2024-04-20,SKU_B,213,0,5
2024-04-21,SKU_B,218,0,3
2024-04-22,SKU_B,200,14,3
2024-04-23,SKU_B,196,17,5
2024-04-24,SKU_B,197,16,7
2024-04-25,SKU_B,200,5,5
2024-04-26,SKU_B,199,2,3
2024-04-27,SKU_B,208,0,7
2024-04-28,SKU_B,211,0,3
2024-04-29,SKU_B,197,13,7
2024-01-01,SKU_C,151,0,5
2024-01-02,SKU_C,145,19,3
2024-01-03,SKU_C,153,8,5
2024-01-04,SKU_C,147,6,7
2024-01-05,SKU_C,149,12,5
2024-01-06,SKU_C,158,1,3
2024-01-07,SKU_C,153,6,5
2024-01-08,SKU_C,156,0,5
2024-01-09,SKU_C,146,3,7
2024-01-10,SKU_C,154,3,5
2024-01-11,SKU_C,148,13,3
2024-01-12,SKU_C,149,2,7
2024-01-13,SKU_C,158,0,5
2024-01-14,SKU_C,166,0,3
2024-01-15,SKU_C,144,14,3
2024-01-16,SKU_C,153,3,3
2024-01-17,SKU_C,147,12,5
2024-01-18,SKU_C,146,16,5
2024-01-19,SKU_C,143,18,7
2024-01-20,SKU_C,161,0,7
2024-01-21,SKU_C,164,0,3
2024-01-22,SKU_C,154,9,5
2024-01-23,SKU_C,152,6,3
2024-01-24,SKU_C,150,3,3
2024-01-25,SKU_C,145,17,5
2024-01-26,SKU_C,148,10,5
2024-01-27,SKU_C,157,0,7
2024-01-28,SKU_C,159,0,7
2024-01-29,SKU_C,147,14,5
2024-01-30,SKU_C,144,10,3
2024-01-31,SKU_C,144,20,3
2024-02-01,SKU_C,151,12,3
2024-02-02,SKU_C,148,14,5
2024-02-03,SKU_C,155,0,7
2024-02-04,SKU_C,156,0,3
2024-02-05,SKU_C,148,3,7
2024-02-06,SKU_C,148,12,3
2024-02-07,SKU_C,147,8,7
2024-02-08,SKU_C,143,19,7
2024-02-09,SKU_C,149,6,5
2024-02-10,SKU_C,159,0,5
2024-02-11,SKU_C,165,0,3
2024-02-12,SKU_C,147,13,7
2024-02-13,SKU_C,145,10,7
2024-02-14,SKU_C,144,12,5
2024-02-15,SKU_C,149,14,5
2024-02-16,SKU_C,149,0,5
2024-02-17,SKU_C,155,7,3
2024-02-18,SKU_C,164,0,5
2024-02-19,SKU_C,143,18,3
2024-02-20,SKU_C,156,7,7
2024-02-21,SKU_C,150,2,3
2024-02-22,SKU_C,146,7,3
2024-02-23,SKU_C,151,1,7
2024-02-24,SKU_C,166,0,7
2024-02-25,SKU_C,154,0,7
2024-02-26,SKU_C,143,13,3
2024-02-27,SKU_C,152,6,3
2024-02-28,SKU_C,145,12,7
2024-02-29,SKU_C,151,11,7
2024-03-01,SKU_C,154,0,3
2024-03-02,SKU_C,154,1,5
2024-03-03,SKU_C,159,0,5
2024-03-04,SKU_C,155,0,7
2024-03-05,SKU_C,143,15,7
2024-03-06,SKU_C,150,9,5
2024-03-07,SKU_C,153,11,3
2024-03-08,SKU_C,151,5,3
2024-03-09,SKU_C,153,5,5
2024-03-10,SKU_C,153,2,3
2024-03-11,SKU_C,150,12,7
2024-03-12,SKU_C,144,12,5
2024-03-13,SKU_C,153,7,5
2024-03-14,SKU_C,146,4,5
2024-03-15,SKU_C,154,8,5
2024-03-16,SKU_C,158,3,7
2024-03-17,SKU_C,156,2,3
2024-03-18,SKU_C,154,0,7
2024-03-19,SKU_C,146,9,5
2024-03-20,SKU_C,147,9,3
2024-03-21,SKU_C,150,7,3
2024-03-22,SKU_C,155,0,5
2024-03-23,SKU_C,162,0,5
2024-03-24,SKU_C,156,6,5
2024-03-25,SKU_C,153,0,3
2024-03-26,SKU_C,149,6,3
2024-03-27,SKU_C,143,10,7
2024-03-28,SKU_C,149,1,3
2024-03-29,SKU_C,145,18,5
2024-03-30,SKU_C,164,0,5
2024-03-31,SKU_C,154,5,3
2024-04-01,SKU_C,146,17,3
2024-04-02,SKU_C,143,18,5
2024-04-03,SKU_C,156,3,5
2024-04-04,SKU_C,150,2,3
2024-04-05,SKU_C,143,14,3
2024-04-06,SKU_C,154,8,5
2024-04-07,SKU_C,154,1,7
2024-04-08,SKU_C,149,9,5
2024-04-09,SKU_C,156,0,5
2024-04-10,SKU_C,143,21,7
2024-04-11,SKU_C,146,17,5
2024-04-12,SKU_C,146,14,5
2024-04-13,SKU_C,164,0,5
2024-04-14,SKU_C,163,0,5
2024-04-15,SKU_C,155,6,7
2024-04-16,SKU_C,143,7,5
2024-04-17,SKU_C,150,0,3
2024-04-18,SKU_C,147,4,3
2024-04-19,SKU_C,152,8,5
2024-04-20,SKU_C,157,0,5
2024-04-21,SKU_C,157,2,7
2024-04-22,SKU_C,147,2,5
2024-04-23,SKU_C,154,0,7
2024-04-24,SKU_C,143,9,3
2024-04-25,SKU_C,150,13,7
2024-04-26,SKU_C,155,2,5
2024-04-27,SKU_C,159,0,5
2024-04-28,SKU_C,160,0,3
2024-04-29,SKU_C,155,3,7
